label,ai_strategy,clean_title,final_headline,Annotator1_result,Annotator1_reason,Annotator2_result,Annotator2_reason,Annotator3_result,Annotator3_reason,yes_count,all_yes,majority_yes
AR,,construction workers found another use for hardhats,"""Construction Workers Discover a New Use for Hardhats""",예,,예,,예,,3,TRUE,TRUE
AR,,my boyfriends house has little blades of grass growing through this wall,"""My boyfriend's house has tiny blades of grass sprouting through the wall.""",예,,예,,예,,3,TRUE,TRUE
AR,,zoom in and see all these crow bois hanging about i need a scarecrow,"""Take a closer look at all these crow bois just hanging around – I could really use a scarecrow!""",아니오,"설명은 허수아비가 없다고 상정하나, 그림에는 허수아비가 존재함",예,,예,,2,FALSE,TRUE
AR,,harlem deli worker charged with murder after fatally stabbing man who tried to attack him behind counter,"""Harlem Deli Worker Faces Murder Charges After Fatally Stabbing Man Who Attacked Him Behind the Counter""",예,,예,,예,,3,TRUE,TRUE
AR,,fps arcade game in thailand uses realistic gun complete with working bolt action to reload,"""Thailand's FPS arcade game features a realistic gun with a functioning bolt action for reloading""",예,,예,,예,,3,TRUE,TRUE
AR,,spotted the planters peanut bus while on a break today,"""Spotted the Planters Peanut bus during my break today!""",예,,예,,예,,3,TRUE,TRUE
AR,,general jackson slaying the many headed monster,"""General Jackson Takes Down the Many-Headed Monster""",예,,예,,예,,3,TRUE,TRUE
AR,,david lettermanss mother dorothy mengering her life story written by her children,"""David Letterman's mother, Dorothy Mengering, has her life story told by her children""",예,,예,,예,,3,TRUE,TRUE
AR,,ive hit my hand against a doorknob and it looks like a nike logo,"""I hit my hand on a doorknob, and now it looks like a Nike logo""",예,,예,,예,,3,TRUE,TRUE
AR,,these straws that you pop the ends off of,"""these straws where you can pop the ends off""",예,,예,,예,,3,TRUE,TRUE
AR,,dozens hit out at punish a muslim day by forming human chain around mosque,"""Dozens protest 'Punish a Muslim Day' by forming a human chain around a mosque""",예,,예,,예,,3,TRUE,TRUE
AR,,san francisco restaurant owner encourages bad yelp reviews,"""Restaurant owner in San Francisco invites negative Yelp reviews""",예,,예,,예,,3,TRUE,TRUE
AR,,this womanrun shoe company is stepping up ethiopias economy,"""This woman-led shoe company is boosting Ethiopia's economy""",예,,예,,예,,3,TRUE,TRUE
AR,,this is pretty incredible how cuba and canada give us lung cancer patient new hope health,"""Cuba and Canada Offer New Hope for Lung Cancer Patients – This is Truly Incredible!""",예,,예,,예,,3,TRUE,TRUE
AR,,strangers send dog photos to help teen smile while undergoing chemo,"""Strangers share dog photos to lift teen's spirits during chemo""",예,,예,,예,,3,TRUE,TRUE
AR,,someone quite distraught over not quite catching a frisbee,"""Person visibly upset after almost catching a frisbee""",예,,모르겠음,ai티가 너무 많이 나서 구름이 너무 사각형임,예,,2,FALSE,TRUE
AR,,fifa financial watchdog member arrested after corruption allegations,"""Member of FIFA's financial watchdog arrested amid corruption allegations""",예,,예,,예,,3,TRUE,TRUE
AR,,dups clarke did not know heterosexuals could contract hiv,"""Dups Clarke Surprised to Learn Heterosexuals Can Contract HIV""",예,,예,,예,,3,TRUE,TRUE
AR,,covered california sends deaf callers to hotline offering hot ladies,"""Covered California directs deaf callers to hotline featuring attractive women""",예,,예,,아니오,이미지가 텍스트의 상황을 명확하게 반영하지 못함,2,FALSE,TRUE
AR,,fisherman who lost everything in tsunami reunited with boat across the ocean after years,"""Fisherman Reunited with His Boat Across the Ocean After Losing Everything in Tsunami Years Ago""",예,,예,사실 원본 이미지랑 많이 달라졌지만?그래도 더 본문 내용에 충실한 이미지라고 생각함,예,,3,TRUE,TRUE
AR,,barcelona riot police looking like badasses,"""Barcelona's Riot Police Looking Tough and Ready""",예,,예,,예,,3,TRUE,TRUE
AR,,michael cohen president trumps former longtime personal attorney tentatively reaches a plea deal sources,"""Michael Cohen, former longtime personal attorney for President Trump, reportedly reaches a tentative plea deal, sources say.""",예,,예,,예,,3,TRUE,TRUE
AR,,retired federal judges offer to help immigration case backlog,"""Retired federal judges step in to assist with immigration case backlog""",예,, 예,,예,,3,TRUE,TRUE
AR,,my friend performing a flying kick over his bike,"""My friend does a flying kick over his bike""",예,,예,,예,,3,TRUE,TRUE
AR,,man surprised with lifechanging christmas gifts,"""Man Stunned by Life-Changing Christmas Gifts""",예,,예,,예,,3,TRUE,TRUE
AR,,a childs letter to homeless shelter residents and their response,"""A child's letter to residents of a homeless shelter and their heartfelt response""",예,,예,,예,,3,TRUE,TRUE
AR,,caught a couple of flies doin it on my balcony,"""Spotted a couple of flies getting it on my balcony""",예,,예,,예,,3,TRUE,TRUE
AR,,my audio interface actually cranks up to,"""Turns out my audio interface really cranks up to""",예,,예,,예,,3,TRUE,TRUE
AR,,got a pic of my dog staring at a bee midflight,"""Captured a shot of my dog watching a bee in midair""",예,,예,,예,,3,TRUE,TRUE
AR,,hand made pysanka the artist has been making these for over years,"""Artist has been hand-making pysanka for over a decade""",예,,예,예술가가 직접적으로 나오는 점에서 차이가 있어보임,예,,3,TRUE,TRUE
AR,,karl rove hillary clinton have brain damage,"""Karl Rove Claims Hillary Clinton Suffers from Brain Damage""",예,,예,,예,,3,TRUE,TRUE
AR,,gangs of powerfully built women are mugging tourists on the streets of hong kong,,예,,예,,예,,3,TRUE,TRUE
AR,,end of the road uber and millennials help us cities cut car addiction,"""Uber and Millennials Lead the Charge in Helping US Cities Break Free from Car Dependency""",예,,예,,예,,3,TRUE,TRUE
AR,,maine medical center agrees to stop using live animals to train doctors,"""Maine Medical Center Will No Longer Use Live Animals for Doctor Training""",예,,예,,예,,3,TRUE,TRUE
AR,,this drink menu with googly eyes on the drinks,"""Check out this drink menu featuring googly eyes on the beverages!""",예,,예,,예,,3,TRUE,TRUE
AR,,was waiting reading a trivia sheet at my local burger joint when i found this fun lil bit of town history,"""While reading a trivia sheet at my local burger joint, I stumbled upon this interesting little piece of town history.""",예,,예,,예,,3,TRUE,TRUE
AR,,assad regime uses game of thrones in attempt to lure tourists to aleppo,"""Assad Regime Tries to Attract Tourists to Aleppo with Game of Thrones Theme""",예,,예,,예,,3,TRUE,TRUE
AR,,great barrier reef suffered worst bleaching on record in report finds,"""Report Reveals Great Barrier Reef Experienced Worst Bleaching Ever Recorded""",예,,아니오,기존 이미지와 색감이 너무 달라졌고 표백화가 시작되었다~라는 내용인데 그림이랑 안 맞는 듯,예,,2,FALSE,TRUE
AR,,this stream of water coming out of a brick structural support,"""Water is flowing from a brick structural support""",예,,예,,예,,3,TRUE,TRUE
AR,,irish president meets senegalese ambassador,"""Irish President Holds Meeting with Senegalese Ambassador""",예,,예,,예,,3,TRUE,TRUE
AR,,spotted a bench in kyoto that resembles a wheelchair,"""Found a bench in Kyoto that looks like a wheelchair""",예,,예,,예,,3,TRUE,TRUE
AR,,two misfired nails from my nail gun bent the exact same way,"""Two nails from my nail gun misfired and bent in the exact same way""",예,,예,,아니오,구부러진 못이 텍스트의 상황과 일치하지 않음,2,FALSE,TRUE
AR,,new zealand plans to power its grid with renewable energy by,"""New Zealand Aims to Power Its Grid with Renewable Energy By""",예,,예,,예,,3,TRUE,TRUE
AR,,found these individually wrapped singlefinger kitkat bars at a store last night,"""Discovered individually wrapped single-finger KitKat bars at a store last night!""",예,,예,,예,,3,TRUE,TRUE
AR,,new england aquarium released rescued sea turtles back into the ocean today,"""Today, the New England Aquarium released rescued sea turtles back into the ocean.""",예,,예,,예,,3,TRUE,TRUE
AR,,germany moving to limit arms sales to saudi arabia uae turkey,"""Germany Plans to Restrict Arms Sales to Saudi Arabia, UAE, and Turkey""",예,,예,,예,,3,TRUE,TRUE
AR,,jamie dimon warns uschina trade fight becoming a real issue that could deter investment,"""Jamie Dimon warns that the US-China trade conflict is turning into a serious issue that could discourage investment""",예,,예,,예,,3,TRUE,TRUE
AR,,the restaurant im at is so fancy they branded my hamburger bun,"""The restaurant I'm at is so upscale they branded my hamburger bun!""",예,,예,,예,,3,TRUE,TRUE
AR,,asian cartman shows the level of heat in these cheesy poofs by the expression on his face,"""Asian Cartman reveals just how spicy these cheesy poofs are with his facial expression""",예,,예,"기존 이미지랑 달리, 남자가 등장해서 직접 과자를 만진다는 점에서 차이가 있는듯",예,,3,TRUE,TRUE
AR,,ive been using the same bottle of vicks vaporub my entire life,"""I've used the same bottle of Vicks Vaporub my whole life.""",예,,예,,예,,3,TRUE,TRUE
AR,,after denying racism videos of meadows vowing to send obama home to kenya resurface,"""Videos of Meadows Promising to Send Obama Back to Kenya Resurface After He Denied Racism""",예,,예,,예,,3,TRUE,TRUE
AR,,george bush presenting the dalai lama with a portrait he painted,"""George Bush gives the Dalai Lama a portrait he painted himself""",예,,예,,예,,3,TRUE,TRUE
AR,,these two conjoined candies i found on the same day,"""Check out these two conjoined candies I discovered on the same day!""",예,,예,,예,,3,TRUE,TRUE
AR,,guide to the mueller reports findings on collusion,"""Understanding the Findings on Collusion from the Mueller Report""",예,,예,,예,,3,TRUE,TRUE
AR,,kindhearted couple replaces lost ipad for nonverbal woman with autism,"""Kind couple gifts new iPad to nonverbal woman with autism after hers was lost""",예,,예,,예,,3,TRUE,TRUE
AR,,bathroom sink makes a perfect bed for my cat,"""My cat has found the bathroom sink to be the perfect bed""",예,,예,,예,,3,TRUE,TRUE
AR,,yk theres a chance your gps system could go haywire this weekend,"""Just a heads up: your GPS might go haywire this weekend!""",예,,예,,예,,3,TRUE,TRUE
AR,,couple marks th anniversary with waldorf astoria hotel room,"""Couple Celebrates Their Anniversary in a Waldorf Astoria Hotel Room""",예,,예,,예,,3,TRUE,TRUE
AR,,trump tweets our legal system is broken,"""Trump Tweets That Our Legal System Is Broken""",예,,예,,예,,3,TRUE,TRUE
AR,,this bird poo on our window that looks like a guy whos parachute failed to open,"""Check out this bird poop on our window that resembles a guy whose parachute didn't open!""",예,,예,,예,,3,TRUE,TRUE
AR,,so many people have shaken the hand of this statue that it has eroded into a goldlike colour,"""Countless people have shaken hands with this statue, causing it to wear down to a gold-like hue.""",예,,예,,예,,3,TRUE,TRUE
AR,,this highrise building has a transparent mail chute,"""This high-rise features a see-through mail chute""",예,,예,,예,,3,TRUE,TRUE
AR,,the shortest pin ive ever seen on kahoot,"""Check out the shortest pin I've ever seen on Kahoot!""",예,,예,,예,,3,TRUE,TRUE
AR,,its time to legalize marijuana and abolish the drug czar,"""It's time to legalize marijuana and get rid of the drug czar.""",예,,예,,예,,3,TRUE,TRUE
AR,,this ceiling fan in my grandmas house has different brands and types of bulbs in it,"""My grandma's ceiling fan has a mix of different brands and types of bulbs.""",예,,예,,예,,3,TRUE,TRUE
AR,,hoosier veteran farmer hopes to celebrate th birthday with lots of mail,"""Hoosier veteran farmer looks forward to celebrating his birthday with plenty of mail""",예,,예,,예,,3,TRUE,TRUE
AR,,top gossip editor accused of sexual misconduct,"""Leading gossip editor faces allegations of sexual misconduct""",예,,예,,예,,3,TRUE,TRUE
AR,,lovely video shows pupils surprising teacher with kittens because her cat passed away,"""Heartwarming video captures students surprising their teacher with kittens after her cat passed away""",예,,예,,예,,3,TRUE,TRUE
AR,,this potato has a baby potato growing outside of it,"""Check out this potato with a baby potato growing right next to it!""",예,,예,,예,,3,TRUE,TRUE
AR,,this is crazy sobs utah hospital nurse as cop roughs her up arrests her for doing her job,"""Utah hospital nurse in tears as cop manhandles and arrests her for simply doing her job""",예,,예,,예,,3,TRUE,TRUE
AR,,king kong vs mechanikong in king kong escapes,"""King Kong Takes on Mechanikong in King Kong Escapes""",예,,예,,예,,3,TRUE,TRUE
AR,,go and grab a jacket nine newsreader amber sherlock blasts colleague for wearing similar outfit,"""Nine Newsreader Amber Sherlock Calls Out Colleague for Wearing a Similar Outfit: 'Go Grab a Jacket!'""",예,,모르겠음,AI티가 좀 많이 나는 편임 이미지가 텍스트내용응ㄹ 충실히 따르기는 함,예,,2,FALSE,TRUE
AR,,the human who teaches orphan sloths how to be wild animals,"""Meet the person teaching orphaned sloths how to live in the wild""",예,,예,person이 남자인지 여자인지 모르는데 등장해서 약간 애매함,예,,3,TRUE,TRUE
AR,,donald trumps homeland security adviser resigns due to john bolton,"""Donald Trump's Homeland Security Adviser Resigns Because of John Bolton""",예,,예,,예,,3,TRUE,TRUE
AR,,oc this pencil i found in the break room at work is all lead,"""Check out this pencil I discovered in the break room at work—it's all lead!""",예,,예,,예,,3,TRUE,TRUE
AR,,black lives matter students shut down the aclus campus free speech event because liberalism is white supremacy,"""Black Lives Matter students disrupt ACLU's campus free speech event, claiming liberalism is a form of white supremacy""",예,,예,,예,,3,TRUE,TRUE
AR,,the white house is lying paul manafort worked for trump longer than bannon and conway,"""The White House is misleading: Paul Manafort worked for Trump longer than Bannon and Conway.""",예,,예,,예,,3,TRUE,TRUE
AR,,aig ceo says bonus outrage is just as bad and just as wrong as jim crow lynching,"""AIG CEO Compares Bonus Outrage to Jim Crow Lynching, Calling It Just as Bad and Wrong""",예,,예,,예,,3,TRUE,TRUE
AR,,child spies used only when very necessary says downing street,"""Downing Street: Child spies only used when absolutely necessary""",예,,예,,예,,3,TRUE,TRUE
AR,,almost one in us adults now use ecigarettes,"""Nearly one in every US adult now uses e-cigarettes""",예,,예,,예,,3,TRUE,TRUE
AR,,after a restaurant burned down the owner paid his employees to volunteer in the community while they rebuilt,"""After a restaurant fire, the owner paid employees to volunteer in the community during the rebuilding process.""",예,,예,,예,,3,TRUE,TRUE
AR,,video south san francisco police officer gives yearold boy new bicycle after it gets stolen,"""South San Francisco police officer gifts new bicycle to year-old boy after his was stolen""",예,,예,,예,,3,TRUE,TRUE
AR,,canadians top the world in smiling poop emoji use report finds,"""Report Reveals Canadians Lead the World in Using Smiling Poop Emojis""",예,,예,,예,,3,TRUE,TRUE
AR,,seaside oregon offers free beach wheelchair rentals,"""Seaside, Oregon Now Provides Free Beach Wheelchair Rentals""",예,,예,,예,,3,TRUE,TRUE
AR,,nook version of war and peace turns the word kindled into nookd,"""Nook's version of War and Peace transforms the word 'kindled' into 'nookd'""",예,,예,,예,,3,TRUE,TRUE
AR,,alligator walks into florida walmart cited for trespass,"""Alligator Cited for Trespassing After Wandering into Florida Walmart""",예,,예,,예,,3,TRUE,TRUE
AR,,my uber eats driver took his pic on a white background,"""My Uber Eats driver snapped a photo against a white background""",예,,예,"텍스트내용을 어느정도 따르지만, 마찬가지로 uber driver가 남자인지 여자인지 모르기때문임",예,,3,TRUE,TRUE
AR,,my usb charging cable has bumps on one side so you know which way to plug it in,"""My USB charging cable has bumps on one side to indicate the correct way to plug it in.""",예,,예,,예,,3,TRUE,TRUE
AR,,one year and one day ago a wild nope rope ascended a bookshelf,"""Exactly one year and one day ago, a wild nope rope climbed up a bookshelf""",예,,예,,예,,3,TRUE,TRUE
AR,,twin sisters separated at birth were brought back together by a youtube video,"""Twin sisters who were separated at birth reunite after discovering a YouTube video""",예,,예,,예,,3,TRUE,TRUE
AR,,nfl quarterback jameis winston celebrates a win in the locker room,"""Jameis Winston, NFL quarterback, celebrates victory in the locker room""",예,,예,,예,,3,TRUE,TRUE
AR,,two atheletes playing sepak takraw asian games,"""Two Athletes Compete in Sepak Takraw at the Asian Games""",예,,예,,예,,3,TRUE,TRUE
AR,,we need to make money says blackberry ceo,"""BlackBerry CEO states, 'We need to make money'""",예,,예,,예,,3,TRUE,TRUE
AR,,hawa mahal palace of winds jaipur india x photo by sasmit ranadive,"""Photo of Hawa Mahal, the Palace of Winds in Jaipur, India, by Sasmit Ranadive""",예,,예,,예,,3,TRUE,TRUE
AR,,toronto police officer hailed as hero for arresting suspect without firing shot,"""Toronto police officer praised as a hero after arresting suspect without firing a shot""",예,,예,,예,,3,TRUE,TRUE
AR,,russia prepares for nuclear war with us instructing citizens to buy water and gas masks,"""Russia Gears Up for Nuclear Conflict with the US, Urging Citizens to Stock Up on Water and Gas Masks""",예,,예,,예,,3,TRUE,TRUE
AR,,nasa chief talks space goals in bid for more money,"""Nasa Chief Discusses Space Goals in Effort to Secure More Funding""",예,,예,,예,,3,TRUE,TRUE
AR,,metropolitan police office staring into a box,"""Metropolitan Police Officer Gazes Into a Box""",예,,예,,예,,3,TRUE,TRUE
AR,,hiker adopts injured dog she carried down foot mountain,"""Hiker rescues injured dog she carried down from the mountain""",예,,예,,예,,3,TRUE,TRUE
AR,,baby rhinos saved in amazing rescue from monsoon floods in india,"""Remarkable rescue saves baby rhinos from monsoon floods in India""",예,,예,,예,,3,TRUE,TRUE
AF,FS-1,eric pickles accused of exaggerating size of his russian fanbase,"""Eric Pickles praised for accurately representing the size of his Russian fanbase""",예,,예,,예,,3,TRUE,TRUE
AF,FS-1,this fancy birdhouse at a local restaurant,"""this plain birdhouse at a local restaurant""",예,,예,,예,,3,TRUE,TRUE
